date,time,Engine Oil Pressure,Engine Oil Pressure Failure Probability,Engine Speed,Engine Speed Failure Probability,Engine Temperature,Engine Temperature Failure Probability,Brake Control,Brake Control Failure Probability,Transmission Pressure,Transmission Pressure Failure Probability,Pedal Sensor,Pedal Sensor Failure Probability,Water Fuel,Water Fuel Failure Probability,Fuel Level,Fuel Level Failure Probability,Fuel Pressure,Fuel Pressure Failure Probability,Fuel Temperature,Fuel Temperature Failure Probability,System Voltage,System Voltage Failure Probability,Exhaust Gas Temperature,Exhaust Gas Temperature Failure Probability,Hydraulic Pump Rate,Hydraulic Pump Rate Failure Probability,Air Filter Pressure Drop,Air Filter Pressure Drop Failure Probability,Overall Failure Probability
2024-08-10,16:00:00,28,0.0,0,0.0,175,0.0,0.52,0.0,293.64,0.1,52.24,0.1,1836.6,0.9,0.6,0.1,39.68,0.1,407.8,0.9,12.17,0.1,408.31,0.9,155.06,0.5,14.16,0.5,0.42000000000000004
2024-08-10,16:01:00,26,0.0,4967,0.9,352,0.9,0.9,0.0,205.15,0.1,53.2,0.1,1841.62,0.9,0.21,0.1,40.45,0.1,409.17,0.9,12.91,0.1,391.24,0.9,146.6,0.5,5.82,0.5,0.5
2024-08-10,16:02:00,7,0.9,1267,0.0,169,0.0,1.06,0.1,352.96,0.1,11.67,0.1,1814.61,0.9,0.37,0.1,48.68,0.1,439.26,0.9,12.6,0.1,390.71,0.9,154.62,0.5,0.93,0.5,0.43333333333333335
2024-08-10,16:03:00,6,0.9,0,0.0,162,0.0,0.95,0.0,351.89,0.1,13.23,0.1,1803.25,0.9,0.95,0.1,63.97,0.1,440.42,0.9,12.91,0.1,369.88,0.9,159.21,0.5,8.8,0.5,0.4636363636363637
2024-08-10,16:04:00,71,0.5,553,0.0,407,0.9,0.9,0.0,230.51,0.1,29.46,0.1,1801.72,0.9,0.91,0.1,42.76,0.1,433.13,0.9,12.94,0.1,391.0,0.9,152.34,0.5,3.7,0.5,0.4666666666666666
2024-08-10,16:05:00,71,0.5,1773,0.0,440,0.9,0.74,0.0,442.4,0.1,43.46,0.1,1846.97,0.9,0.89,0.1,52.94,0.1,446.09,0.9,12.27,0.1,374.8,0.9,127.26,0.5,6.51,0.5,0.4666666666666666
2024-08-10,16:06:00,23,0.1,3612,0.9,233,0.5,1.71,0.9,297.17,0.1,18.27,0.1,1841.44,0.9,0.36,0.1,43.43,0.1,427.13,0.9,12.42,0.1,405.11,0.9,128.73,0.5,19.74,0.5,0.4714285714285714
2024-08-10,16:07:00,67,0.1,0,0.0,324,0.9,0.34,0.0,393.06,0.1,14.64,0.1,1800.28,0.9,0.82,0.1,56.21,0.1,436.45,0.9,14.31,0.1,368.7,0.9,142.92,0.5,2.32,0.5,0.43333333333333335
2024-08-10,16:08:00,96,0.9,0,0.0,474,0.9,1.29,0.5,415.78,0.1,35.86,0.1,1816.54,0.9,0.06,0.1,44.33,0.1,416.26,0.9,14.19,0.1,396.88,0.9,169.36,0.5,9.44,0.5,0.5
2024-08-10,16:09:00,92,0.9,2075,0.5,73,0.0,1.36,0.5,229.9,0.1,40.36,0.1,1838.04,0.9,0.56,0.1,58.13,0.1,424.69,0.9,13.57,0.1,386.38,0.9,126.27,0.5,2.16,0.5,0.46923076923076923
2024-08-10,16:10:00,74,0.5,1153,0.0,493,0.9,0.29,0.0,207.86,0.1,36.52,0.1,1815.72,0.9,0.51,0.1,62.23,0.1,412.46,0.9,13.23,0.1,402.78,0.9,136.44,0.5,1.54,0.5,0.4666666666666666
2024-08-10,16:11:00,71,0.5,0,0.0,133,0.0,0.8,0.0,272.44,0.1,12.76,0.1,1846.48,0.9,0.81,0.1,54.0,0.1,443.57,0.9,14.41,0.1,374.33,0.9,169.63,0.5,10.79,0.5,0.4272727272727273
2024-08-10,16:12:00,53,0.0,2687,0.0,361,0.9,1.31,0.5,401.86,0.1,49.5,0.1,1815.9,0.9,0.11,0.1,41.84,0.1,421.36,0.9,14.45,0.1,408.04,0.9,125.35,0.5,10.21,0.5,0.4666666666666666
2024-08-10,16:13:00,136,0.9,2505,0.0,286,0.9,0.82,0.0,304.35,0.1,15.81,0.1,1805.99,0.9,0.34,0.1,63.29,0.1,416.16,0.9,13.56,0.1,400.15,0.9,143.18,0.5,19.44,0.5,0.5
2024-08-10,16:14:00,142,0.9,0,0.0,481,0.9,1.56,0.9,440.61,0.1,17.29,0.1,1824.86,0.9,0.3,0.1,43.55,0.1,401.84,0.9,13.83,0.1,390.13,0.9,127.57,0.5,5.57,0.5,0.5307692307692308
2024-08-10,16:15:00,14,0.9,2376,0.5,462,0.9,0.7,0.0,427.07,0.1,16.68,0.1,1807.24,0.9,0.49,0.1,64.57,0.1,412.1,0.9,14.02,0.1,403.08,0.9,136.88,0.5,14.56,0.5,0.5
2024-08-10,16:16:00,68,0.1,1042,0.0,340,0.9,1.77,0.9,291.95,0.1,36.32,0.1,1831.68,0.9,0.54,0.1,37.71,0.1,441.77,0.9,12.96,0.1,374.33,0.9,127.04,0.5,11.82,0.5,0.4692307692307693
2024-08-10,16:17:00,80,0.5,0,0.0,252,0.9,1.78,0.9,369.39,0.1,5.53,0.1,1825.6,0.9,0.23,0.1,54.36,0.1,408.72,0.9,14.07,0.1,384.34,0.9,171.84,0.5,2.75,0.5,0.5
2024-08-10,16:18:00,117,0.9,0,0.0,121,0.0,0.57,0.0,285.27,0.1,10.37,0.1,1846.23,0.9,0.88,0.1,42.74,0.1,433.0,0.9,14.45,0.1,392.76,0.9,151.48,0.5,4.84,0.5,0.4636363636363637
2024-08-10,16:19:00,143,0.9,0,0.0,432,0.9,1.21,0.5,223.28,0.1,49.56,0.1,1845.02,0.9,0.63,0.1,45.17,0.1,417.46,0.9,14.18,0.1,409.86,0.9,169.35,0.5,15.6,0.5,0.5
2024-08-10,16:20:00,149,0.9,0,0.0,162,0.0,1.99,0.9,360.51,0.1,8.91,0.1,1808.08,0.9,0.9,0.1,53.19,0.1,400.46,0.9,12.3,0.1,398.18,0.9,125.25,0.5,3.22,0.5,0.5
2024-08-10,16:21:00,35,0.0,0,0.0,96,0.0,1.54,0.9,337.18,0.1,39.29,0.1,1832.6,0.9,0.22,0.1,56.37,0.1,411.86,0.9,12.98,0.1,402.32,0.9,157.48,0.5,16.98,0.5,0.4636363636363637
2024-08-10,16:22:00,28,0.0,1752,0.0,455,0.9,1.39,0.5,364.4,0.1,33.12,0.1,1804.68,0.9,0.37,0.1,42.96,0.1,412.2,0.9,14.92,0.1,384.65,0.9,169.6,0.5,12.62,0.5,0.4666666666666666
2024-08-10,16:23:00,16,0.5,0,0.0,355,0.9,1.99,0.9,398.7,0.1,29.83,0.1,1828.85,0.9,0.49,0.1,40.86,0.1,436.12,0.9,12.84,0.1,366.22,0.9,157.27,0.5,3.54,0.5,0.5
2024-08-10,16:24:00,135,0.9,2559,0.0,398,0.9,1.47,0.5,435.11,0.1,52.4,0.1,1845.74,0.9,0.37,0.1,35.46,0.1,446.42,0.9,13.28,0.1,413.33,0.9,173.18,0.5,17.06,0.5,0.5
