date,time,Engine Oil Pressure,Engine Oil Pressure Failure Probability,Engine Speed,Engine Speed Failure Probability,Engine Temperature,Engine Temperature Failure Probability,Brake Control,Brake Control Failure Probability,Transmission Pressure,Transmission Pressure Failure Probability,Pedal Sensor,Pedal Sensor Failure Probability,Water Fuel,Water Fuel Failure Probability,Fuel Level,Fuel Level Failure Probability,Fuel Pressure,Fuel Pressure Failure Probability,Fuel Temperature,Fuel Temperature Failure Probability,System Voltage,System Voltage Failure Probability,Exhaust Gas Temperature,Exhaust Gas Temperature Failure Probability,Hydraulic Pump Rate,Hydraulic Pump Rate Failure Probability,Air Filter Pressure Drop,Air Filter Pressure Drop Failure Probability,Overall Failure Probability
2024-08-10,09:35:57.048673,49.0,0.1,1956.26,0.5,101.8,0.1,3.72,0.1,354.44,0.1,55.81,0.1,1937.72,0.9,-2.98,0.1,44.62,0.1,465.51,0.9,6.63,0.9,410.07,0.9,244.73,0.5,4.14,0.5,0.41428571428571426
2024-08-10,10:05:57.048673,39.63,0.1,1888.56,0.5,162.9,0.9,4.05,0.1,268.11,0.1,135.56,0.1,1823.93,0.9,4.13,0.1,46.01,0.1,464.35,0.9,7.34,0.9,586.43,0.9,352.38,0.5,16.18,0.5,0.4714285714285715
2024-08-10,10:35:57.048673,22.46,0.9,1791.58,0.1,159.87,0.9,-0.6,0.5,271.09,0.1,63.1,0.1,1863.6,0.9,-2.24,0.1,41.47,0.1,564.27,0.9,5.79,0.9,398.28,0.9,309.95,0.5,2.25,0.5,0.5285714285714287
2024-08-10,11:05:57.048673,33.94,0.1,1959.68,0.5,279.66,0.9,2.25,0.1,391.42,0.1,158.27,0.1,1897.3,0.9,-3.9,0.1,38.67,0.1,463.73,0.9,9.71,0.9,472.63,0.9,128.46,0.5,2.41,0.5,0.4714285714285715
2024-08-10,11:35:57.048673,68.35,0.9,1963.83,0.5,234.39,0.9,1.29,0.1,409.78,0.1,29.31,0.1,1838.3,0.9,4.43,0.1,35.42,0.1,455.69,0.9,9.11,0.9,535.9,0.9,249.06,0.5,11.99,0.5,0.5285714285714287
2024-08-10,12:05:57.048673,58.53,0.1,1879.54,0.5,115.66,0.9,0.64,0.5,208.44,0.1,160.31,0.1,1827.92,0.9,-1.59,0.1,60.4,0.1,470.35,0.9,15.75,0.9,495.28,0.9,176.59,0.5,3.28,0.5,0.5000000000000001
2024-08-10,12:35:57.048673,28.45,0.1,1887.17,0.5,180.07,0.9,-2.61,0.5,370.47,0.1,155.8,0.1,1829.56,0.9,4.7,0.1,45.94,0.1,568.96,0.9,8.43,0.9,423.34,0.9,318.39,0.5,5.27,0.5,0.5000000000000001
2024-08-10,13:05:57.048673,61.98,0.1,2005.4,0.5,191.82,0.9,4.15,0.1,341.79,0.1,41.34,0.1,1767.09,0.1,2.47,0.1,49.04,0.1,516.16,0.9,17.91,0.9,529.85,0.9,263.35,0.5,0.55,0.5,0.4142857142857143
2024-08-10,13:35:57.048673,30.49,0.1,1983.91,0.5,296.52,0.9,0.82,0.5,344.08,0.1,65.99,0.1,1808.59,0.9,-2.58,0.1,72.29,0.1,569.99,0.9,20.61,0.9,497.3,0.9,353.02,0.5,4.74,0.5,0.5000000000000001
2024-08-10,14:05:57.048673,55.38,0.1,1839.58,0.5,311.83,0.9,-3.46,0.5,363.55,0.1,34.55,0.1,1999.55,0.9,2.72,0.1,41.66,0.1,592.88,0.9,22.87,0.9,467.42,0.9,299.66,0.5,17.0,0.5,0.5000000000000001
2024-08-10,14:35:57.048673,57.36,0.1,1834.51,0.5,174.25,0.9,0.89,0.5,273.45,0.1,-35.47,0.1,1950.54,0.9,0.35,0.1,52.42,0.1,483.11,0.9,12.78,0.1,486.87,0.9,317.8,0.5,8.56,0.5,0.4428571428571429
2024-08-10,15:05:57.048673,52.22,0.1,1845.64,0.5,156.33,0.9,2.8,0.1,295.7,0.1,11.01,0.1,1931.3,0.9,-1.54,0.1,68.4,0.1,522.04,0.9,8.21,0.9,461.98,0.9,89.49,0.1,-3.67,0.5,0.4428571428571429
2024-08-10,15:35:57.048673,63.29,0.1,1854.62,0.5,200.67,0.9,-0.49,0.5,301.94,0.1,86.25,0.1,1887.51,0.9,4.07,0.1,48.02,0.1,428.36,0.9,13.8,0.1,560.59,0.9,216.96,0.5,9.62,0.5,0.4428571428571429
2024-08-10,16:05:57.048673,60.38,0.1,2032.77,0.5,101.09,0.1,-4.72,0.5,227.27,0.1,0.84,0.1,1921.3,0.9,-1.37,0.1,42.48,0.1,563.54,0.9,20.27,0.9,389.15,0.9,305.81,0.5,18.94,0.5,0.44285714285714295
2024-08-10,16:35:57.048673,45.41,0.1,1911.24,0.5,269.58,0.9,3.3,0.1,233.83,0.1,138.4,0.1,1903.56,0.9,-4.5,0.1,53.99,0.1,508.87,0.9,16.32,0.9,486.21,0.9,166.51,0.5,15.97,0.5,0.4714285714285715
2024-08-10,17:05:57.048673,62.46,0.1,1817.68,0.5,121.46,0.9,4.32,0.1,280.07,0.1,59.45,0.1,1883.76,0.9,2.09,0.1,43.62,0.1,499.38,0.9,21.99,0.9,426.92,0.9,332.28,0.5,22.25,0.1,0.4428571428571429
2024-08-10,17:35:57.048673,31.72,0.1,1961.27,0.5,230.48,0.9,0.04,0.5,202.21,0.1,-22.16,0.1,1838.43,0.9,1.58,0.1,61.36,0.1,494.0,0.9,21.94,0.9,414.42,0.9,172.75,0.5,15.48,0.5,0.5000000000000001
2024-08-10,18:05:57.048673,29.03,0.1,1996.17,0.5,250.45,0.9,1.73,0.1,354.1,0.1,-8.11,0.1,2029.11,0.9,1.66,0.1,37.08,0.1,478.07,0.9,5.31,0.9,608.5,0.9,268.24,0.5,9.33,0.5,0.4714285714285715
2024-08-10,18:35:57.048673,45.64,0.1,2014.44,0.5,317.53,0.9,-0.2,0.5,440.5,0.1,-33.62,0.1,1906.35,0.9,-2.51,0.1,50.44,0.1,628.19,0.9,13.89,0.1,425.3,0.9,172.75,0.5,21.26,0.1,0.41428571428571426
2024-08-10,19:05:57.048673,65.97,0.9,1998.27,0.5,249.66,0.9,-3.26,0.5,440.64,0.1,67.6,0.1,1909.44,0.9,1.83,0.1,56.06,0.1,539.25,0.9,14.87,0.1,530.68,0.9,104.68,0.1,16.31,0.5,0.4714285714285714
2024-08-10,19:35:57.048673,47.42,0.1,1778.73,0.1,184.11,0.9,-0.23,0.5,423.0,0.1,135.86,0.1,1891.52,0.9,5.36,0.1,47.94,0.1,474.25,0.9,22.98,0.9,446.4,0.9,225.69,0.5,-2.19,0.5,0.4714285714285715
2024-08-10,20:05:57.048673,23.16,0.9,1841.85,0.5,125.94,0.9,0.64,0.5,360.34,0.1,-2.76,0.1,1811.65,0.9,-3.94,0.1,37.83,0.1,427.69,0.9,17.32,0.9,402.8,0.9,208.76,0.5,21.68,0.1,0.5285714285714286
2024-08-10,20:35:57.048673,22.98,0.9,1986.07,0.5,112.84,0.9,0.22,0.5,351.94,0.1,121.95,0.1,1782.58,0.1,4.67,0.1,50.99,0.1,416.18,0.9,8.45,0.9,406.58,0.9,111.22,0.1,2.5,0.5,0.4714285714285715
